ward_number,ward_name,ward_reservation,councillor_name,party,party_full,votes,vote_share_pct,contact,term,source,note
123,Hyder nagar,Unreserved,NARNE SRINIVASA RAO,TRS,Telangana Rashtra Samithi,9260,47.813,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
124,Allwyn colony,Unreserved,DODLA VENKATESH GOUD,TRS,Telangana Rashtra Samithi,11079,46.007,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
125,Gajularamaram,Backward Class,Ravula Seshagiri,TRS,Telangana Rashtra Samithi,13267,40.978,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
126,Jagadgiri gutta,Backward Class,Kolukula JAgan,TRS,Telangana Rashtra Samithi,10382,42.823,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
127,Rangareddy nagar,Backward Class,B Vijay Shekhar,TRS,Telangana Rashtra Samithi,13516,61.242,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
128,Chintal,Backward Classes (Women),RASHIDA BEGUM,TRS,Telangana Rashtra Samithi,8477,46.669,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
129,Suraram,Unreserved,Manthri Sathya Narayana,TRS,Telangana Rashtra Samithi,11115,41.742,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
130,Subhash nagar,Women,Hemalatha Gudimetla,TRS,Telangana Rashtra Samithi,19545,58.881,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
131,Quthubullapur,Women,KUNA GOURISH PARIJATHA,TRS,Telangana Rashtra Samithi,12220,48.363,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
132,Jeedimetla,Women,CHERUKUPALLY TARA CHANDRA REDDY,BJP,Bharatiya Janata Party,14004,52.955,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
133,Macha bollaram,Scheduled Caste,E.S.Raj Jitendernath,TRS,Telangana Rashtra Samithi,12089,44.829,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
134,Alwal,Women,CHINTALA VIJAY SHANTI,TRS,Telangana Rashtra Samithi,10998,49.657,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
135,Venkata puram,Scheduled Caste,Sabitha Kishore,TRS,Telangana Rashtra Samithi,7580,42.181,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
136,Neredmet,Women,KOTHAPALLY MEENA REDDY,TRS,Telangana Rashtra Samithi,10330,41.03,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
137,Vinayaka nagar,Women,CYANAM RAJYALAKSHMI,BJP,Bharatiya Janata Party,9972,45.257,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
138,Moulali,Women,GUNNALA SUNITHA,BJP,Bharatiya Janata Party,10491,42.562,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
139,East anand bagh,Unreserved,Y PREM KUMAR,TRS,Telangana Rashtra Samithi,10163,45.765,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
140,Malkajgiri,Unreserved,SRAVAN VURAPALLI,BJP,Bharatiya Janata Party,8366,41.436,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
141,Gotham nagar,Women,MEKALA SUNEETHA,TRS,Telangana Rashtra Samithi,10304,43.274,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
142,Addagutta,Scheduled Caste (Women),LINGANI PRASNNA LAKSHMI,TRS,Telangana Rashtra Samithi,13532,58.065,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
143,Tarnaka,Women,Mothe Sri Latha,TRS,Telangana Rashtra Samithi,14069,47.734,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
144,Mettuguda,Scheduled Caste (Women),SUNITHA R,TRS,Telangana Rashtra Samithi,7592,43.577,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
145,Seethaphalmandi,Women,Samala Hema,TRS,Telangana Rashtra Samithi,14035,47.497,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
146,Boudha nagar,Backward Classes (Women),KANDI SHAILAJA,TRS,Telangana Rashtra Samithi,9997,46.122,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
147,Bansilalpet,Scheduled Caste (Women),KURMA HEMALATHA,TRS,Telangana Rashtra Samithi,13930,46.948,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
148,Ramgopalpet,Backward Classes (Women),CHEERA SUCHITRA,BJP,Bharatiya Janata Party,8453,44.713,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
149,Begumpet,Women,T. MAHESHWARI,TRS,Telangana Rashtra Samithi,11407,47.892,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
150,Monda Market,Women,Kontham Deepika,BJP,Bharatiya Janata Party,12015,53.896,,2021-2026 (term ended 09 Feb 2026; now under Special Officer),Telangana SEC via OpenCity GHMC Election Results 2020,
