sr_no,name,prabhag_no,ward_name,party,contact_email,term,source
184,BABBU KHAN,184,G/North Ward,,councillor184.gn@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
185,JAGDISH MAKKUNY THAIVALPIL,185,G/North Ward,,councillor185.gn@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
186,VASANT SHIVRAM NAKASHE,186,G/North Ward,,councillor186.gn@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
187,MARIAMMAL MUTHURAMLINGAM THEVAR,187,G/North Ward,,councillor187.gn@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
188,RESHMABANO MOHAMMED HASIM KHAN,188,G/North Ward,,councillor188.gn@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
189,HARSHALA ASHISH MORE,189,G/North Ward,,councillor189.gn@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
190,SHEETAL SURESH GAMBHIR,190,G/North Ward,,councillor190.gn@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
191,VISHAKHA SHARAD RAUT,191,G/North Ward,,councillor191.gn@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
192,PRITI PRAKASH PATANKAR,192,G/North Ward,,councillor192.gn@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
193,HEMANGI HARISH WORLIKAR,193,G/South Ward,,councillor193.gs@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
194,SAMADHAN SADA SARVANKAR,194,G/South Ward,,councillor194.gs@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
195,SANTOSH NAMDEO KHARAT,195,G/South Ward,,councillor195.gs@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
196,ASHISH RAMNATH CHEMBURKAR,196,G/South Ward,,councillor196.gs@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
197,DATTA NARVANKAR,197,G/South Ward,,councillor197.gs@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
198,SNEHAL SURYAKANT AMBEKAR,198,G/South Ward,,councillor198.gs@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
199,KISHORI KISHOR PEDNEKAR,199,G/South Ward,,councillor199.gs@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
200,URMILA ULHAS PANCHAL,200,F/South Ward,,councillor200.fs@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
201,SUPRIYA SUNIL MORE,201,F/South Ward,,councillor201.fs@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
202,SHRADDHA SHRIDHAR JADHAV,202,F/South Ward,,councillor202.fs@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
203,SINDHU RAVINDRANATH MASURKAR,203,F/South Ward,,councillor203.fs@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
204,ANIL SADASHIV KOKIL,204,F/South Ward,,councillor204.fs@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
205,DATTA PONGADE,205,F/South Ward,,councillor205.fs@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
206,SACHIN D. PADWAL,206,F/South Ward,,councillor206.fs@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
207,SUREKHA ROHIDAS LOKHANDE,207,E Ward,,councillor207.e@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
208,RAMAKANT SAKHARAM RAHATE,208,E Ward,,councillor208.e@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
209,YASHWANT JADHAV,209,E Ward,,councillor209.e@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
210,SONAM MANOJ JAMSUTKAR,210,E Ward,,councillor210.e@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
211,RAIS KASAM SHAIKH,211,E Ward,,councillor211.e@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
212,GITA AJAY GAWALI,212,E Ward,,councillor212.e@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
213,JAVED JUNEJA,213,E Ward,,councillor213.e@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
214,SARITA AJAY PATIL,214,D Ward,,councillor214.d@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
215,ARUNDHATI ARVIND DUDHWADKAR,215,D Ward,,councillor215.d@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
216,RAJENDRA DATTATRAY NARWANKAR,216,D Ward,,councillor216.d@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
217,MINAL RUCHIT PATEL,217,D Ward,,councillor217.d@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
218,ANURADHA VIJAY POTDAR,218,D Ward,,councillor218.d@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
219,JYOTSNA DEVESH MEHTA,219,D Ward,,councillor219.d@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
220,ATUL HASMUKHLAL SHAH,220,C Ward,,councillor220.c@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
221,AKASH RAJ PUROHIT,221,C Ward,,councillor221.c@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
222,RITA BHARAT MAKWANA,222,C Ward,,councillor222.c@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
223,NIKITA DNYANRAJ NIKAM,223,B Ward,,councillor223.b@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
224,AFRIN JAVED SHAIKH,224,B Ward,,councillor224.b@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
225,SUJATA DIGVIJAY SANAP,225,A Ward,,councillor225.a@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
226,HARSHITA A. NARVEKAR,226,A Ward,,councillor226.a@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
227,MAKRAND S. NARVEKAR,227,A Ward,,councillor227.a@mcgm.gov.in,2017-2022,portal.mcgm.gov.in/Councillors list.pdf
